# ACTS Test Suite Generation: Thu Aug 14 01:47:16 JST 2025
#  '*' represents don't care value 
# Degree of interaction coverage: 4
# Number of parameters: 20
# Maximum number of values per parameter: 2
# Number of configurations: 175
p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0
0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0
0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0
1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0
1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0
1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0
1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0
1,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0
1,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0
1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0
1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0
1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0
0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0
1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0
1,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0
0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1
0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0
0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0
1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1
0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0
1,0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0
1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0
1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0
1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0
0,1,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0
0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,1
0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1
0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1
0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0
1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0
1,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0
0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0
1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0
0,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0
0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0
0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1
0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0
1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0
1,0,0,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0
1,1,1,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0
1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0
0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0
0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0
0,0,1,0,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0
1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,1,0,0
0,0,1,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0
0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0
1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0
1,1,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0
1,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0
0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0
1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0
0,0,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0
0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1
0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0
0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0
0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0
0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0
0,1,1,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0
1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0
1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0
0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0
0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0
0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0
0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0
0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0
1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0
0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0
0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,1,0,0,0
0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0
0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,0,1,0,0,0
1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0
1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0
1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0
1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0
0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0
0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0
0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,0,0
0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0
0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0
0,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0,0
0,0,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0
0,0,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0
0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,0
0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0
0,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0
0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0
0,1,0,1,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0
1,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0
1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0
1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0
1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0
1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1
0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0
0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0
0,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0
0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0
0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,1,0
0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,1,1,0
0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0
0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1,0
0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0
0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0
0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0
0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0
0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0
0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,1,0
0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0
0,1,0,0,0,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0
0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,1,0
0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0
0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0
1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0
1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,1,0
1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0
1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0
1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0
1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1
0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1
0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1
0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1
0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1
0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1
0,0,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,1
0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1
0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1
0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,0,1
0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,1
0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1
0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1
0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1
0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,0,1
0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1
0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,1,1
0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,1,1
0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,1,0,0,1
0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1
0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1
0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1
0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1
0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1
0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1
0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1
0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,1
0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1
0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,0,1
0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,1,1
0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,1
0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0,0,1
0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,1
0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1
0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1
1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1
1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1
1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,0,1
1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,1
1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,1
1,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1
1,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1
1,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1
