n,tau,k,Array_Size,Time
10,2,2,45,0.0197
10,2,3,24,0.0122
10,2,4,18,0.0067
10,2,5,10,0.0057
10,2,6,10,0.0049
10,2,7,8,0.0046
10,3,3,120,0.2253
10,3,4,51,0.2047
10,3,5,29,0.1094
10,3,6,24,0.0688
10,3,7,23,0.054
10,3,8,24,0.037
10,4,4,210,1.7674
10,4,5,77,1.7375
10,4,6,50,0.7672
10,4,7,52,0.4049
10,4,8,54,0.5159
10,4,9,51,0.4994
20,2,2,190,0.4714
20,2,3,92,0.2808
20,2,4,65,0.2501
20,2,5,50,0.1707
20,2,6,33,0.1291
20,2,7,27,0.0681
20,3,3,1140,30.0131
20,3,4,471,36.3659
20,3,5,271,20.972
20,3,6,185,11.3006
20,3,7,127,8.6671
20,3,8,84,4.6772
20,4,4,TIMEOUT,inf
20,4,5,TIMEOUT,inf
20,4,6,TIMEOUT,inf
20,4,7,494,481.6605
20,4,8,300,312.1931
20,4,9,214,151.025
30,2,2,435,3.6513
30,2,3,215,2.2874
30,2,4,156,1.5794
30,2,5,111,0.8945
30,2,6,88,0.636
30,2,7,65,0.4267
30,3,3,4060,597.6559
30,3,4,TIMEOUT,inf
30,3,5,1015,398.582
30,3,6,638,214.8132
30,3,7,447,131.3262
30,3,8,339,99.7152
30,4,4,TIMEOUT,inf
30,4,5,TIMEOUT,inf
30,4,6,TIMEOUT,inf
30,4,7,TIMEOUT,inf
30,4,8,TIMEOUT,inf
30,4,9,TIMEOUT,inf
