n,tau,k,Array_Size,Time
10,2,2,46,3.5152
10,2,3,17,1.6312
10,2,4,12,1.4152
10,2,5,9,1.2332
10,2,6,8,1.193
10,2,7,9,1.2545
10,3,3,120,27.3677
10,3,4,40,14.0919
10,3,5,21,11.3631
10,3,6,17,10.8376
10,3,7,16,10.7778
10,3,8,19,11.2376
10,4,4,212,137.189
10,4,5,63,84.7058
10,4,6,41,76.076
10,4,7,37,75.2871
10,4,8,36,77.1398
10,4,9,41,76.8844
20,2,2,191,42.0171
20,2,3,70,17.1487
20,2,4,40,10.9447
20,2,5,28,8.3807
20,2,6,21,6.4991
20,2,7,17,5.6929
20,3,3,TIMEOUT,inf
20,3,4,342,555.687
20,3,5,168,322.1921
20,3,6,103,224.6929
20,3,7,65,178.4549
20,3,8,48,160.3962
20,4,4,TIMEOUT,inf
20,4,5,TIMEOUT,inf
20,4,6,TIMEOUT,inf
20,4,7,TIMEOUT,inf
20,4,8,TIMEOUT,inf
20,4,9,TIMEOUT,inf
30,2,2,436,204.2921
30,2,3,156,74.7192
30,2,4,91,46.0053
30,2,5,61,32.1475
30,2,6,46,24.5635
30,2,7,38,20.5206
30,3,3,TIMEOUT,inf
30,3,4,TIMEOUT,inf
30,3,5,TIMEOUT,inf
30,3,6,TIMEOUT,inf
30,3,7,TIMEOUT,inf
30,3,8,TIMEOUT,inf
30,4,4,TIMEOUT,inf
30,4,5,TIMEOUT,inf
30,4,6,TIMEOUT,inf
30,4,7,TIMEOUT,inf
30,4,8,TIMEOUT,inf
30,4,9,TIMEOUT,inf
