n,tau,k,Algorithm,Array_Size,Time
10,2,2,Adaptive_Sampling,45,0.0197
10,2,2,Heuristic_Greedy,46,3.5152
10,2,2,Simulated_Annealing,30,0.4367
10,2,3,Adaptive_Sampling,24,0.0122
10,2,3,Heuristic_Greedy,17,1.6312
10,2,3,Simulated_Annealing,16,0.1721
10,2,4,Adaptive_Sampling,18,0.0067
10,2,4,Heuristic_Greedy,12,1.4152
10,2,4,Simulated_Annealing,12,0.1134
10,2,5,Adaptive_Sampling,10,0.0057
10,2,5,Heuristic_Greedy,9,1.2332
10,2,5,Simulated_Annealing,10,0.0855
10,2,6,Adaptive_Sampling,10,0.0049
10,2,6,Heuristic_Greedy,8,1.1930
10,2,6,Simulated_Annealing,8,0.0950
10,2,7,Adaptive_Sampling,8,0.0046
10,2,7,Heuristic_Greedy,9,1.2545
10,2,7,Simulated_Annealing,8,0.0472
10,3,3,Adaptive_Sampling,120,0.2253
10,3,3,Heuristic_Greedy,120,27.3677
10,3,3,Simulated_Annealing,56,6.4904
10,3,4,Adaptive_Sampling,51,0.2047
10,3,4,Heuristic_Greedy,40,14.0919
10,3,4,Simulated_Annealing,40,3.9743
10,3,5,Adaptive_Sampling,29,0.1094
10,3,5,Heuristic_Greedy,21,11.3631
10,3,5,Simulated_Annealing,22,18.5891
10,3,6,Adaptive_Sampling,24,0.0688
10,3,6,Heuristic_Greedy,17,10.8376
10,3,6,Simulated_Annealing,21,9.8419
10,3,7,Adaptive_Sampling,23,0.0540
10,3,7,Heuristic_Greedy,16,10.7778
10,3,7,Simulated_Annealing,32,2.2756
10,3,8,Adaptive_Sampling,24,0.0370
10,3,8,Heuristic_Greedy,19,11.2376
10,3,8,Simulated_Annealing,32,1.7485
10,4,4,Adaptive_Sampling,210,1.7674
10,4,4,Heuristic_Greedy,212,137.1890
10,4,4,Simulated_Annealing,144,101.6397
10,4,5,Adaptive_Sampling,77,1.7375
10,4,5,Heuristic_Greedy,63,84.7058
10,4,5,Simulated_Annealing,TIMEOUT,inf
10,4,6,Adaptive_Sampling,50,0.7672
10,4,6,Heuristic_Greedy,41,76.0760
10,4,6,Simulated_Annealing,72,543.2749
10,4,7,Adaptive_Sampling,52,0.4049
10,4,7,Heuristic_Greedy,37,75.2871
10,4,7,Simulated_Annealing,120,71.9760
10,4,8,Adaptive_Sampling,54,0.5159
10,4,8,Heuristic_Greedy,36,77.1398
10,4,8,Simulated_Annealing,TIMEOUT,inf
10,4,9,Adaptive_Sampling,51,0.4994
10,4,9,Heuristic_Greedy,41,76.8844
10,4,9,Simulated_Annealing,TIMEOUT,inf
20,2,2,Adaptive_Sampling,190,0.4714
20,2,2,Heuristic_Greedy,191,42.0171
20,2,2,Simulated_Annealing,60,15.2796
20,2,3,Adaptive_Sampling,92,0.2808
20,2,3,Heuristic_Greedy,70,17.1487
20,2,3,Simulated_Annealing,32,6.5234
20,2,4,Adaptive_Sampling,65,0.2501
20,2,4,Heuristic_Greedy,40,10.9447
20,2,4,Simulated_Annealing,22,3.9461
20,2,5,Adaptive_Sampling,50,0.1707
20,2,5,Heuristic_Greedy,28,8.3807
20,2,5,Simulated_Annealing,18,3.2834
20,2,6,Adaptive_Sampling,33,0.1291
20,2,6,Heuristic_Greedy,21,6.4991
20,2,6,Simulated_Annealing,14,2.2748
20,2,7,Adaptive_Sampling,27,0.0681
20,2,7,Heuristic_Greedy,17,5.6929
20,2,7,Simulated_Annealing,12,1.8797
20,3,3,Adaptive_Sampling,1140,30.0131
20,3,3,Heuristic_Greedy,TIMEOUT,inf
20,3,3,Simulated_Annealing,100,508.2668
20,3,4,Adaptive_Sampling,471,36.3659
20,3,4,Heuristic_Greedy,342,555.6870
20,3,4,Simulated_Annealing,72,348.4061
20,3,5,Adaptive_Sampling,271,20.9720
20,3,5,Heuristic_Greedy,168,322.1921
20,3,5,Simulated_Annealing,56,263.7183
