n,tau,k,Algorithm,Array_Size,Time
20,2,2,Adaptive_Sampling,190,0.2760
20,2,2,Heuristic_Greedy,191,41.7252
20,2,2,Simulated_Annealing,190,0.0279
20,2,2,ACTS,190,45.3626
20,2,3,Adaptive_Sampling,87,0.1301
20,2,3,Heuristic_Greedy,70,16.3997
20,2,3,Simulated_Annealing,68,23.1178
20,2,3,ACTS,90,8.7748
20,2,4,Adaptive_Sampling,57,0.1137
20,2,4,Heuristic_Greedy,40,10.8472
20,2,4,Simulated_Annealing,37,15.2456
20,2,4,ACTS,57,4.4143
20,2,5,Adaptive_Sampling,33,0.0701
20,2,5,Heuristic_Greedy,28,8.5538
20,2,5,Simulated_Annealing,22,16.4489
20,2,5,ACTS,37,2.1966
20,2,6,Adaptive_Sampling,28,0.0450
20,2,6,Heuristic_Greedy,21,6.4538
20,2,6,Simulated_Annealing,17,10.3810
20,2,6,ACTS,26,1.5850
20,2,7,Adaptive_Sampling,21,0.0291
20,2,7,Heuristic_Greedy,17,5.6416
20,2,7,Simulated_Annealing,13,7.3289
20,2,7,ACTS,21,1.2174
20,3,3,Adaptive_Sampling,1140,15.9664
20,3,3,Heuristic_Greedy,TIMEOUT,inf
20,3,3,Simulated_Annealing,1140,1.3957
20,3,3,ACTS,TIMEOUT,inf
20,3,4,Adaptive_Sampling,438,20.8513
20,3,4,Heuristic_Greedy,342,552.4649
20,3,4,Simulated_Annealing,TIMEOUT,inf
20,3,4,ACTS,TIMEOUT,inf
20,3,5,Adaptive_Sampling,229,7.8535
20,3,5,Heuristic_Greedy,168,320.1421
20,3,5,Simulated_Annealing,176,520.4319
20,3,5,ACTS,TIMEOUT,inf
20,3,6,Adaptive_Sampling,140,3.7058
20,3,6,Heuristic_Greedy,103,216.9562
20,3,6,Simulated_Annealing,97,417.0214
20,3,6,ACTS,189,107.2595
20,3,7,Adaptive_Sampling,94,2.1961
20,3,7,Heuristic_Greedy,65,171.6527
20,3,7,Simulated_Annealing,59,319.2478
20,3,7,ACTS,131,16.3399
20,3,8,Adaptive_Sampling,59,1.2433
20,3,8,Heuristic_Greedy,48,153.2505
20,3,8,Simulated_Annealing,40,191.1353
20,3,8,ACTS,78,4.4114
